"ItemID","ItemName","RunBand","Rarity","ChaseFlag","Slot","RoleTags","AllowedClasses","PrimaryStat","Strength","Intelligence","Dexterity","Vitality","BranchAbility","BranchModifier","Special","SpecialTags","PartyUtility","DropSource","EncounterID","ShopPool","IntendedUse","ImplementationStatus","Notes"
"starter_verdant_greatsword","Verdant Greatsword","Starter","Common","No","weapon","frontline;striker","Warrior","Strength","2","0","0","0","","","","","Reliable opening weapon profile for Warrior.","Starter loadout","","Starter","Gives Warrior a clear physical baseline.","Planned","Current starter weapon can map here."
"starter_seedglass_staff","Seedglass Staff","Starter","Common","No","weapon","caster","Mage;Cleric","Intelligence","0","2","0","0","","","","","Reliable opening caster weapon profile.","Starter loadout","","Starter","Gives caster classes a spell baseline.","Planned","Can share base data until class-specific weapons are authored."
"starter_scout_bow","Scout Bow","Starter","Common","No","weapon","striker","Ranger","Dexterity","0","0","2","0","","","","","Reliable opening ranged weapon profile.","Starter loadout","","Starter","Gives Ranger a ranged baseline.","Planned","Pairs with Focused Shot later."
"starter_barkmail_vest","Barkmail Vest","Starter","Common","No","bodyArmour","frontline","All","Vitality","0","0","0","2","","","","","+10 effective starter HP through Vitality.","Starter loadout","","Starter","Broad early survival item.","Planned","Good default first shop filler."
"starter_leaf_etched_helm","Leaf-Etched Helm","Starter","Common","No","helmet","support;tempo","All","Vitality","0","0","0","1","","","","","Small opener focus and party-readability hook.","Starter loadout","","Starter","Light utility without defining a build.","Planned","Can use existing helmet common copy."
"starter_ambervein_ring","Ambervein Ring","Starter","Common","No","ring","caster;support","All","Intelligence","0","1","0","0","","","","","Flexible stat fixing for casters and supports.","Starter loadout","","Starter","Cheap item that helps Cleric or Mage.","Planned","Ring slot keeps early loot easy to equip."
"starter_quickroot_boots","Quickroot Boots","Starter","Common","No","boots","tempo","All","Dexterity","0","0","1","1","","Quickroot","","","Minor timing identity for the first Branch experiments.","Starter loadout","","Starter","Introduces Branch Modifier language early.","Planned","Modifier can be inactive until Branch UI consumes it."
"starter_motherseed_pendant","Motherseed Pendant","Starter","Common","No","amulet","support;tempo","All","Vitality","0","0","0","1","Haste","","","","Starter support tempo identity.","Starter loadout","","Starter","Teaches that amulets can change the loop.","Planned","Starter amulets already exist for class finishers."
"moss_rootguard_body","Rootguard Body Armour","Early","Common","No","bodyArmour","frontline","All","Vitality","0","0","0","3","","Wardwoven","","","Self barrier on compatible Branch hits.","Moss Golem Opening","moss-golem-opening","Early Common","First sturdier frontline upgrade.","Planned","Good candidate if early packs start dropping gear."
"moss_stonebark_gloves","Stonebark Grips","Early","Common","No","gloves","frontline;striker","Warrior;Thief;Ranger","Strength","2","0","1","0","Combo Attack","","","","Small physical cadence upgrade.","Moss Golem Opening","moss-golem-opening","Early Common","Lets early physical classes feel different.","Planned","Physical role item."
"moss_sapfed_ring","Sapfed Band","Early","Common","No","ring","support","All","Vitality","0","0","0","2","","Sap Fed","","","Adjacent Branch Abilities grant a little extra Bloom Meter.","Moss Golem Opening","moss-golem-opening","Early Common","Early support/meter hook.","Planned","Pairs with longer Branch chains."
"canopy_goblin_knifewraps","Goblin Knifewraps","Early","Common","No","gloves","striker","Thief;Ranger;Warrior","Dexterity","0","0","3","0","","Bleed Edge","","","Short bleed on compatible physical Branch Abilities.","Canopy Ambush","canopy-ambush","Early Common","Early damage-over-time build seed.","Planned","Useful for fast attackers."
